observation_date,DCPCPI
1929-01-01,1324
1930-01-01,1314
1931-01-01,1253
1932-01-01,1107
1933-01-01,945
1934-01-01,963
1935-01-01,1031
1936-01-01,1143
1937-01-01,1211
1938-01-01,1142
1939-01-01,1164
1940-01-01,1221
1941-01-01,1271
1942-01-01,1474
1943-01-01,1630
1944-01-01,1670
1945-01-01,1754
1946-01-01,1826
1947-01-01,1878
1948-01-01,2120
1949-01-01,2286
1950-01-01,2427
1951-01-01,2547
1952-01-01,2693
1953-01-01,2599
1954-01-01,2621
1955-01-01,2623
1956-01-01,2840
1957-01-01,2939
1958-01-01,3027
1959-01-01,3106
1960-01-01,3125
1961-01-01,3236
1962-01-01,3438
1963-01-01,3605
1964-01-01,3827
1965-01-01,4129
1966-01-01,4344
1967-01-01,4655
1968-01-01,4968
1969-01-01,4939
1970-01-01,5528
1971-01-01,6191
1972-01-01,6781
1973-01-01,7246
1974-01-01,8004
1975-01-01,8834
1976-01-01,9548
1977-01-01,10469
1978-01-01,11349
1979-01-01,12204
1980-01-01,13234
1981-01-01,14248
1982-01-01,15253
1983-01-01,16108
1984-01-01,17523
1985-01-01,18539
1986-01-01,19397
1987-01-01,20434
1988-01-01,22666
1989-01-01,24243
1990-01-01,26117
1991-01-01,27527
1992-01-01,29036
1993-01-01,30311
1994-01-01,31325
1995-01-01,32021
1996-01-01,33799
1997-01-01,35657
1998-01-01,38064
1999-01-01,39679
2000-01-01,43401
2001-01-01,44809
2002-01-01,45124
2003-01-01,45978
2004-01-01,49986
2005-01-01,52686
2006-01-01,55384
2007-01-01,59358
2008-01-01,60609
2009-01-01,60011
2010-01-01,63190
2011-01-01,66985
2012-01-01,67522
2013-01-01,67081
2014-01-01,70527
2015-01-01,74784
2016-01-01,77500
2017-01-01,79567
2018-01-01,82272
2019-01-01,83675
2020-01-01,90691
2021-01-01,97764
2022-01-01,100153
2023-01-01,105518
2024-01-01,108233
