observation_date,FLPCPI
1929-01-01,519
1930-01-01,468
1931-01-01,397
1932-01-01,317
1933-01-01,289
1934-01-01,348
1935-01-01,378
1936-01-01,453
1937-01-01,491
1938-01-01,466
1939-01-01,502
1940-01-01,531
1941-01-01,634
1942-01-01,837
1943-01-01,1057
1944-01-01,1154
1945-01-01,1215
1946-01-01,1200
1947-01-01,1195
1948-01-01,1240
1949-01-01,1246
1950-01-01,1351
1951-01-01,1440
1952-01-01,1539
1953-01-01,1636
1954-01-01,1628
1955-01-01,1743
1956-01-01,1870
1957-01-01,1915
1958-01-01,1967
1959-01-01,2091
1960-01-01,2105
1961-01-01,2130
1962-01-01,2209
1963-01-01,2299
1964-01-01,2449
1965-01-01,2599
1966-01-01,2781
1967-01-01,3007
1968-01-01,3355
1969-01-01,3765
1970-01-01,4131
1971-01-01,4433
1972-01-01,4860
1973-01-01,5371
1974-01-01,5757
1975-01-01,6107
1976-01-01,6557
1977-01-01,7182
1978-01-01,8064
1979-01-01,8941
1980-01-01,10153
1981-01-01,11337
1982-01-01,11924
1983-01-01,12850
1984-01-01,13908
1985-01-01,14814
1986-01-01,15597
1987-01-01,16330
1988-01-01,17580
1989-01-01,19057
1990-01-01,19765
1991-01-01,20109
1992-01-01,20812
1993-01-01,21623
1994-01-01,22289
1995-01-01,23464
1996-01-01,24443
1997-01-01,25397
1998-01-01,26909
1999-01-01,27662
2000-01-01,29387
2001-01-01,30405
2002-01-01,30815
2003-01-01,31779
2004-01-01,33706
2005-01-01,35736
2006-01-01,38009
2007-01-01,39184
2008-01-01,39185
2009-01-01,36777
2010-01-01,38779
2011-01-01,40437
2012-01-01,41211
2013-01-01,40743
2014-01-01,42877
2015-01-01,44957
2016-01-01,45730
2017-01-01,48447
2018-01-01,51015
2019-01-01,53666
2020-01-01,56539
2021-01-01,62238
2022-01-01,64171
2023-01-01,67821
2024-01-01,70390
