observation_date,GAPCPI
1929-01-01,343
1930-01-01,303
1931-01-01,254
1932-01-01,197
1933-01-01,202
1934-01-01,241
1935-01-01,267
1936-01-01,300
1937-01-01,312
1938-01-01,288
1939-01-01,308
1940-01-01,338
1941-01-01,432
1942-01-01,592
1943-01-01,749
1944-01-01,852
1945-01-01,899
1946-01-01,859
1947-01-01,896
1948-01-01,997
1949-01-01,983
1950-01-01,1087
1951-01-01,1240
1952-01-01,1322
1953-01-01,1369
1954-01-01,1351
1955-01-01,1475
1956-01-01,1552
1957-01-01,1580
1958-01-01,1631
1959-01-01,1709
1960-01-01,1749
1961-01-01,1799
1962-01-01,1901
1963-01-01,2024
1964-01-01,2148
1965-01-01,2331
1966-01-01,2545
1967-01-01,2750
1968-01-01,2986
1969-01-01,3292
1970-01-01,3542
1971-01-01,3823
1972-01-01,4203
1973-01-01,4656
1974-01-01,5019
1975-01-01,5354
1976-01-01,5881
1977-01-01,6396
1978-01-01,7154
1979-01-01,7850
1980-01-01,8604
1981-01-01,9594
1982-01-01,10237
1983-01-01,11066
1984-01-01,12305
1985-01-01,13191
1986-01-01,14104
1987-01-01,14847
1988-01-01,15948
1989-01-01,16928
1990-01-01,17831
1991-01-01,18333
1992-01-01,19347
1993-01-01,20070
1994-01-01,21070
1995-01-01,22210
1996-01-01,23437
1997-01-01,24356
1998-01-01,26107
1999-01-01,27184
2000-01-01,28760
2001-01-01,29693
2002-01-01,30086
2003-01-01,30805
2004-01-01,31982
2005-01-01,33283
2006-01-01,34574
2007-01-01,35440
2008-01-01,35272
2009-01-01,34213
2010-01-01,34740
2011-01-01,36760
2012-01-01,37250
2013-01-01,37484
2014-01-01,39550
2015-01-01,41527
2016-01-01,42742
2017-01-01,44836
2018-01-01,46624
2019-01-01,48529
2020-01-01,51460
2021-01-01,56079
2022-01-01,57193
2023-01-01,59691
2024-01-01,62393
