observation_date,IDPCPI
1929-01-01,499
1930-01-01,488
1931-01-01,366
1932-01-01,268
1933-01-01,228
1934-01-01,389
1935-01-01,394
1936-01-01,466
1937-01-01,421
1938-01-01,421
1939-01-01,431
1940-01-01,459
1941-01-01,594
1942-01-01,919
1943-01-01,1040
1944-01-01,1110
1945-01-01,1144
1946-01-01,1203
1947-01-01,1273
1948-01-01,1352
1949-01-01,1297
1950-01-01,1352
1951-01-01,1532
1952-01-01,1693
1953-01-01,1596
1954-01-01,1612
1955-01-01,1651
1956-01-01,1792
1957-01-01,1857
1958-01-01,1882
1959-01-01,1959
1960-01-01,1961
1961-01-01,2035
1962-01-01,2150
1963-01-01,2230
1964-01-01,2316
1965-01-01,2615
1966-01-01,2638
1967-01-01,2808
1968-01-01,2971
1969-01-01,3382
1970-01-01,3691
1971-01-01,3918
1972-01-01,4329
1973-01-01,4885
1974-01-01,5566
1975-01-01,5850
1976-01-01,6343
1977-01-01,6726
1978-01-01,7497
1979-01-01,8007
1980-01-01,8857
1981-01-01,9597
1982-01-01,9956
1983-01-01,10795
1984-01-01,11385
1985-01-01,11995
1986-01-01,12286
1987-01-01,12867
1988-01-01,13948
1989-01-01,15209
1990-01-01,16143
1991-01-01,16517
1992-01-01,17619
1993-01-01,18660
1994-01-01,19329
1995-01-01,20206
1996-01-01,20999
1997-01-01,21465
1998-01-01,22756
1999-01-01,23658
2000-01-01,25139
2001-01-01,25803
2002-01-01,26272
2003-01-01,26739
2004-01-01,28299
2005-01-01,29214
2006-01-01,31244
2007-01-01,32459
2008-01-01,32690
2009-01-01,31200
2010-01-01,31948
2011-01-01,33447
2012-01-01,34812
2013-01-01,35699
2014-01-01,37107
2015-01-01,38813
2016-01-01,39653
2017-01-01,41197
2018-01-01,43254
2019-01-01,45880
2020-01-01,49607
2021-01-01,55408
2022-01-01,56984
2023-01-01,59192
2024-01-01,61836
