observation_date,KSPCPI
1929-01-01,526
1930-01-01,460
1931-01-01,394
1932-01-01,267
1933-01-01,251
1934-01-01,288
1935-01-01,360
1936-01-01,387
1937-01-01,427
1938-01-01,383
1939-01-01,382
1940-01-01,425
1941-01-01,556
1942-01-01,860
1943-01-01,1062
1944-01-01,1182
1945-01-01,1179
1946-01-01,1142
1947-01-01,1304
1948-01-01,1350
1949-01-01,1314
1950-01-01,1481
1951-01-01,1622
1952-01-01,1864
1953-01-01,1779
1954-01-01,1839
1955-01-01,1800
1956-01-01,1871
1957-01-01,1966
1958-01-01,2144
1959-01-01,2149
1960-01-01,2211
1961-01-01,2275
1962-01-01,2351
1963-01-01,2420
1964-01-01,2558
1965-01-01,2731
1966-01-01,2933
1967-01-01,3075
1968-01-01,3321
1969-01-01,3665
1970-01-01,3956
1971-01-01,4298
1972-01-01,4772
1973-01-01,5417
1974-01-01,5848
1975-01-01,6358
1976-01-01,6850
1977-01-01,7413
1978-01-01,8151
1979-01-01,9251
1980-01-01,10080
1981-01-01,11338
1982-01-01,12208
1983-01-01,12649
1984-01-01,13815
1985-01-01,14521
1986-01-01,15189
1987-01-01,15748
1988-01-01,16520
1989-01-01,17414
1990-01-01,18436
1991-01-01,18957
1992-01-01,20105
1993-01-01,20836
1994-01-01,21579
1995-01-01,22321
1996-01-01,23645
1997-01-01,24932
1998-01-01,26201
1999-01-01,26871
2000-01-01,28166
2001-01-01,29047
2002-01-01,29218
2003-01-01,30029
2004-01-01,30748
2005-01-01,32340
2006-01-01,35411
2007-01-01,37748
2008-01-01,41060
2009-01-01,39382
2010-01-01,39821
2011-01-01,42889
2012-01-01,44913
2013-01-01,45669
2014-01-01,46289
2015-01-01,46597
2016-01-01,46717
2017-01-01,48271
2018-01-01,50282
2019-01-01,52156
2020-01-01,55100
2021-01-01,59013
2022-01-01,62313
2023-01-01,65869
2024-01-01,68038
