observation_date,MNPCPI
1929-01-01,594
1930-01-01,547
1931-01-01,457
1932-01-01,361
1933-01-01,310
1934-01-01,359
1935-01-01,449
1936-01-01,474
1937-01-01,538
1938-01-01,493
1939-01-01,517
1940-01-01,524
1941-01-01,616
1942-01-01,799
1943-01-01,955
1944-01-01,1012
1945-01-01,1119
1946-01-01,1193
1947-01-01,1271
1948-01-01,1451
1949-01-01,1335
1950-01-01,1447
1951-01-01,1595
1952-01-01,1650
1953-01-01,1731
1954-01-01,1748
1955-01-01,1818
1956-01-01,1864
1957-01-01,1958
1958-01-01,2044
1959-01-01,2090
1960-01-01,2182
1961-01-01,2263
1962-01-01,2356
1963-01-01,2486
1964-01-01,2566
1965-01-01,2808
1966-01-01,3023
1967-01-01,3211
1968-01-01,3493
1969-01-01,3829
1970-01-01,4117
1971-01-01,4353
1972-01-01,4714
1973-01-01,5500
1974-01-01,5903
1975-01-01,6340
1976-01-01,6801
1977-01-01,7612
1978-01-01,8487
1979-01-01,9359
1980-01-01,10284
1981-01-01,11313
1982-01-01,12063
1983-01-01,12698
1984-01-01,14335
1985-01-01,15134
1986-01-01,15927
1987-01-01,16815
1988-01-01,17539
1989-01-01,18969
1990-01-01,19929
1991-01-01,20337
1992-01-01,21562
1993-01-01,21921
1994-01-01,23211
1995-01-01,24283
1996-01-01,25878
1997-01-01,27067
1998-01-01,29141
1999-01-01,30240
2000-01-01,32348
2001-01-01,33417
2002-01-01,33889
2003-01-01,35195
2004-01-01,37084
2005-01-01,37812
2006-01-01,39362
2007-01-01,41325
2008-01-01,42983
2009-01-01,40963
2010-01-01,42538
2011-01-01,45134
2012-01-01,47399
2013-01-01,47413
2014-01-01,49357
2015-01-01,51353
2016-01-01,51982
2017-01-01,53826
2018-01-01,56201
2019-01-01,57903
2020-01-01,61327
2021-01-01,67452
2022-01-01,69813
2023-01-01,72366
2024-01-01,74943
