observation_date,MSPCPI
1929-01-01,277
1930-01-01,197
1931-01-01,169
1932-01-01,122
1933-01-01,127
1934-01-01,167
1935-01-01,174
1936-01-01,222
1937-01-01,220
1938-01-01,196
1939-01-01,201
1940-01-01,212
1941-01-01,316
1942-01-01,457
1943-01-01,553
1944-01-01,642
1945-01-01,640
1946-01-01,618
1947-01-01,669
1948-01-01,797
1949-01-01,711
1950-01-01,780
1951-01-01,866
1952-01-01,921
1953-01-01,955
1954-01-01,946
1955-01-01,1069
1956-01-01,1077
1957-01-01,1088
1958-01-01,1180
1959-01-01,1275
1960-01-01,1267
1961-01-01,1359
1962-01-01,1397
1963-01-01,1534
1964-01-01,1590
1965-01-01,1722
1966-01-01,1879
1967-01-01,2048
1968-01-01,2250
1969-01-01,2496
1970-01-01,2736
1971-01-01,2974
1972-01-01,3327
1973-01-01,3736
1974-01-01,4056
1975-01-01,4360
1976-01-01,4887
1977-01-01,5375
1978-01-01,5917
1979-01-01,6634
1980-01-01,7168
1981-01-01,8007
1982-01-01,8394
1983-01-01,8746
1984-01-01,9509
1985-01-01,9974
1986-01-01,10324
1987-01-01,10916
1988-01-01,11737
1989-01-01,12707
1990-01-01,13353
1991-01-01,13973
1992-01-01,14881
1993-01-01,15656
1994-01-01,16724
1995-01-01,17470
1996-01-01,18360
1997-01-01,19219
1998-01-01,20173
1999-01-01,20681
2000-01-01,21628
2001-01-01,22806
2002-01-01,23202
2003-01-01,24060
2004-01-01,25287
2005-01-01,26716
2006-01-01,27827
2007-01-01,29432
2008-01-01,30736
2009-01-01,30220
2010-01-01,31213
2011-01-01,32454
2012-01-01,33441
2013-01-01,33976
2014-01-01,34623
2015-01-01,35100
2016-01-01,35638
2017-01-01,36579
2018-01-01,37624
2019-01-01,39142
2020-01-01,42446
2021-01-01,46906
2022-01-01,47086
2023-01-01,49593
2024-01-01,52017
