observation_date,NDPCPI
1929-01-01,377
1930-01-01,308
1931-01-01,195
1932-01-01,178
1933-01-01,151
1934-01-01,184
1935-01-01,271
1936-01-01,238
1937-01-01,324
1938-01-01,282
1939-01-01,316
1940-01-01,352
1941-01-01,521
1942-01-01,658
1943-01-01,959
1944-01-01,1020
1945-01-01,1037
1946-01-01,1079
1947-01-01,1467
1948-01-01,1462
1949-01-01,1231
1950-01-01,1388
1951-01-01,1480
1952-01-01,1351
1953-01-01,1372
1954-01-01,1407
1955-01-01,1544
1956-01-01,1615
1957-01-01,1662
1958-01-01,1931
1959-01-01,1757
1960-01-01,1909
1961-01-01,1730
1962-01-01,2441
1963-01-01,2249
1964-01-01,2220
1965-01-01,2584
1966-01-01,2623
1967-01-01,2714
1968-01-01,2864
1969-01-01,3205
1970-01-01,3397
1971-01-01,3868
1972-01-01,4576
1973-01-01,6383
1974-01-01,6304
1975-01-01,6549
1976-01-01,6357
1977-01-01,6564
1978-01-01,8235
1979-01-01,8446
1980-01-01,8059
1981-01-01,10469
1982-01-01,11144
1983-01-01,11583
1984-01-01,12427
1985-01-01,12915
1986-01-01,13250
1987-01-01,13773
1988-01-01,12911
1989-01-01,14656
1990-01-01,16084
1991-01-01,16362
1992-01-01,17839
1993-01-01,17991
1994-01-01,19435
1995-01-01,19376
1996-01-01,21584
1997-01-01,21194
1998-01-01,23286
1999-01-01,23683
2000-01-01,25842
2001-01-01,26493
2002-01-01,27197
2003-01-01,29663
2004-01-01,29984
2005-01-01,31731
2006-01-01,33120
2007-01-01,36501
2008-01-01,40973
2009-01-01,40186
2010-01-01,44081
2011-01-01,48873
2012-01-01,56056
2013-01-01,54337
2014-01-01,56647
2015-01-01,52972
2016-01-01,51298
2017-01-01,51830
2018-01-01,55173
2019-01-01,56657
2020-01-01,60368
2021-01-01,65975
2022-01-01,71042
2023-01-01,71574
2024-01-01,70966
