observation_date,NEPCPI
1929-01-01,584
1930-01-01,510
1931-01-01,409
1932-01-01,303
1933-01-01,273
1934-01-01,264
1935-01-01,405
1936-01-01,395
1937-01-01,414
1938-01-01,402
1939-01-01,399
1940-01-01,440
1941-01-01,548
1942-01-01,823
1943-01-01,1029
1944-01-01,1101
1945-01-01,1197
1946-01-01,1187
1947-01-01,1269
1948-01-01,1545
1949-01-01,1361
1950-01-01,1583
1951-01-01,1667
1952-01-01,1797
1953-01-01,1705
1954-01-01,1793
1955-01-01,1693
1956-01-01,1718
1957-01-01,1996
1958-01-01,2108
1959-01-01,2112
1960-01-01,2216
1961-01-01,2223
1962-01-01,2386
1963-01-01,2433
1964-01-01,2491
1965-01-01,2761
1966-01-01,2995
1967-01-01,3097
1968-01-01,3282
1969-01-01,3649
1970-01-01,3897
1971-01-01,4234
1972-01-01,4645
1973-01-01,5382
1974-01-01,5570
1975-01-01,6336
1976-01-01,6597
1977-01-01,7123
1978-01-01,8208
1979-01-01,8844
1980-01-01,9392
1981-01-01,10858
1982-01-01,11643
1983-01-01,12031
1984-01-01,13344
1985-01-01,14101
1986-01-01,14606
1987-01-01,15307
1988-01-01,16359
1989-01-01,17320
1990-01-01,18486
1991-01-01,19014
1992-01-01,19974
1993-01-01,20460
1994-01-01,21592
1995-01-01,22561
1996-01-01,24321
1997-01-01,24880
1998-01-01,26387
1999-01-01,27467
2000-01-01,28924
2001-01-01,30184
2002-01-01,30553
2003-01-01,32268
2004-01-01,33496
2005-01-01,34401
2006-01-01,35718
2007-01-01,38184
2008-01-01,40291
2009-01-01,39422
2010-01-01,41085
2011-01-01,45607
2012-01-01,46385
2013-01-01,45911
2014-01-01,48187
2015-01-01,49708
2016-01-01,48688
2017-01-01,49533
2018-01-01,51436
2019-01-01,53513
2020-01-01,56745
2021-01-01,63517
2022-01-01,66923
2023-01-01,71006
2024-01-01,71859
