observation_date,OKPCPI
1929-01-01,449
1930-01-01,365
1931-01-01,294
1932-01-01,214
1933-01-01,220
1934-01-01,250
1935-01-01,296
1936-01-01,322
1937-01-01,375
1938-01-01,345
1939-01-01,348
1940-01-01,374
1941-01-01,436
1942-01-01,639
1943-01-01,802
1944-01-01,965
1945-01-01,989
1946-01-01,960
1947-01-01,1031
1948-01-01,1144
1949-01-01,1180
1950-01-01,1164
1951-01-01,1319
1952-01-01,1438
1953-01-01,1518
1954-01-01,1504
1955-01-01,1560
1956-01-01,1642
1957-01-01,1711
1958-01-01,1856
1959-01-01,1919
1960-01-01,1974
1961-01-01,2006
1962-01-01,2054
1963-01-01,2112
1964-01-01,2256
1965-01-01,2424
1966-01-01,2585
1967-01-01,2784
1968-01-01,3032
1969-01-01,3335
1970-01-01,3634
1971-01-01,3882
1972-01-01,4197
1973-01-01,4696
1974-01-01,5153
1975-01-01,5677
1976-01-01,6145
1977-01-01,6733
1978-01-01,7517
1979-01-01,8557
1980-01-01,9631
1981-01-01,11044
1982-01-01,11902
1983-01-01,11880
1984-01-01,12752
1985-01-01,13326
1986-01-01,13486
1987-01-01,13588
1988-01-01,14393
1989-01-01,15387
1990-01-01,16232
1991-01-01,16604
1992-01-01,17389
1993-01-01,17895
1994-01-01,18520
1995-01-01,19152
1996-01-01,20092
1997-01-01,21071
1998-01-01,22009
1999-01-01,22390
2000-01-01,24124
2001-01-01,25557
2002-01-01,25999
2003-01-01,27184
2004-01-01,29194
2005-01-01,31699
2006-01-01,34650
2007-01-01,35493
2008-01-01,39154
2009-01-01,35835
2010-01-01,37157
2011-01-01,39694
2012-01-01,41905
2013-01-01,43607
2014-01-01,45884
2015-01-01,44279
2016-01-01,42053
2017-01-01,43873
2018-01-01,46030
2019-01-01,48177
2020-01-01,50020
2021-01-01,54492
2022-01-01,57943
2023-01-01,60395
2024-01-01,62661
