observation_date,SDPCPI
1929-01-01,415
1930-01-01,357
1931-01-01,242
1932-01-01,189
1933-01-01,136
1934-01-01,190
1935-01-01,305
1936-01-01,248
1937-01-01,321
1938-01-01,317
1939-01-01,341
1940-01-01,357
1941-01-01,470
1942-01-01,755
1943-01-01,853
1944-01-01,976
1945-01-01,1083
1946-01-01,1121
1947-01-01,1254
1948-01-01,1503
1949-01-01,1121
1950-01-01,1298
1951-01-01,1520
1952-01-01,1357
1953-01-01,1483
1954-01-01,1509
1955-01-01,1391
1956-01-01,1474
1957-01-01,1737
1958-01-01,1811
1959-01-01,1621
1960-01-01,1940
1961-01-01,1924
1962-01-01,2154
1963-01-01,2081
1964-01-01,2062
1965-01-01,2350
1966-01-01,2574
1967-01-01,2662
1968-01-01,2861
1969-01-01,3108
1970-01-01,3386
1971-01-01,3684
1972-01-01,4215
1973-01-01,5310
1974-01-01,5313
1975-01-01,5829
1976-01-01,5726
1977-01-01,6477
1978-01-01,7460
1979-01-01,8222
1980-01-01,8275
1981-01-01,9648
1982-01-01,10153
1983-01-01,10501
1984-01-01,11858
1985-01-01,12144
1986-01-01,12711
1987-01-01,13366
1988-01-01,13952
1989-01-01,15044
1990-01-01,16474
1991-01-01,17028
1992-01-01,18147
1993-01-01,18722
1994-01-01,19943
1995-01-01,20144
1996-01-01,22117
1997-01-01,22571
1998-01-01,24265
1999-01-01,25251
2000-01-01,26727
2001-01-01,27563
2002-01-01,27497
2003-01-01,29883
2004-01-01,31871
2005-01-01,33534
2006-01-01,34983
2007-01-01,38330
2008-01-01,40891
2009-01-01,39435
2010-01-01,41275
2011-01-01,44532
2012-01-01,44996
2013-01-01,44988
2014-01-01,46732
2015-01-01,48308
2016-01-01,48284
2017-01-01,49408
2018-01-01,51579
2019-01-01,54408
2020-01-01,59422
2021-01-01,67014
2022-01-01,69736
2023-01-01,72546
2024-01-01,73959
