observation_date,TXPCPI
1929-01-01,474
1930-01-01,407
1931-01-01,345
1932-01-01,262
1933-01-01,254
1934-01-01,291
1935-01-01,325
1936-01-01,372
1937-01-01,418
1938-01-01,404
1939-01-01,417
1940-01-01,438
1941-01-01,539
1942-01-01,742
1943-01-01,970
1944-01-01,1068
1945-01-01,1082
1946-01-01,1061
1947-01-01,1154
1948-01-01,1221
1949-01-01,1319
1950-01-01,1392
1951-01-01,1524
1952-01-01,1606
1953-01-01,1641
1954-01-01,1681
1955-01-01,1752
1956-01-01,1837
1957-01-01,1913
1958-01-01,1934
1959-01-01,2013
1960-01-01,2020
1961-01-01,2092
1962-01-01,2147
1963-01-01,2219
1964-01-01,2354
1965-01-01,2507
1966-01-01,2713
1967-01-01,2934
1968-01-01,3203
1969-01-01,3493
1970-01-01,3782
1971-01-01,4007
1972-01-01,4352
1973-01-01,4835
1974-01-01,5342
1975-01-01,5947
1976-01-01,6528
1977-01-01,7124
1978-01-01,8023
1979-01-01,8978
1980-01-01,9986
1981-01-01,11407
1982-01-01,12095
1983-01-01,12577
1984-01-01,13533
1985-01-01,14346
1986-01-01,14422
1987-01-01,14605
1988-01-01,15480
1989-01-01,16399
1990-01-01,17451
1991-01-01,17913
1992-01-01,18941
1993-01-01,19604
1994-01-01,20266
1995-01-01,21223
1996-01-01,22362
1997-01-01,23924
1998-01-01,25543
1999-01-01,26452
2000-01-01,28253
2001-01-01,29601
2002-01-01,29481
2003-01-01,30176
2004-01-01,31097
2005-01-01,33136
2006-01-01,35422
2007-01-01,36879
2008-01-01,39841
2009-01-01,37234
2010-01-01,38911
2011-01-01,41941
2012-01-01,43869
2013-01-01,44403
2014-01-01,46747
2015-01-01,46767
2016-01-01,45868
2017-01-01,48524
2018-01-01,51346
2019-01-01,53271
2020-01-01,54795
2021-01-01,60192
2022-01-01,62812
2023-01-01,65768
2024-01-01,67942
