observation_date,VTPCPI
1929-01-01,630
1930-01-01,572
1931-01-01,471
1932-01-01,363
1933-01-01,337
1934-01-01,381
1935-01-01,415
1936-01-01,470
1937-01-01,485
1938-01-01,458
1939-01-01,492
1940-01-01,519
1941-01-01,650
1942-01-01,783
1943-01-01,947
1944-01-01,963
1945-01-01,1047
1946-01-01,1096
1947-01-01,1132
1948-01-01,1220
1949-01-01,1147
1950-01-01,1189
1951-01-01,1364
1952-01-01,1410
1953-01-01,1463
1954-01-01,1491
1955-01-01,1560
1956-01-01,1697
1957-01-01,1764
1958-01-01,1780
1959-01-01,1879
1960-01-01,1975
1961-01-01,2053
1962-01-01,2139
1963-01-01,2195
1964-01-01,2340
1965-01-01,2530
1966-01-01,2808
1967-01-01,2969
1968-01-01,3215
1969-01-01,3468
1970-01-01,3728
1971-01-01,3967
1972-01-01,4294
1973-01-01,4661
1974-01-01,4996
1975-01-01,5401
1976-01-01,5928
1977-01-01,6339
1978-01-01,7171
1979-01-01,7939
1980-01-01,8793
1981-01-01,9817
1982-01-01,10578
1983-01-01,11286
1984-01-01,12305
1985-01-01,13265
1986-01-01,14165
1987-01-01,15128
1988-01-01,16307
1989-01-01,17757
1990-01-01,18226
1991-01-01,18479
1992-01-01,19602
1993-01-01,20184
1994-01-01,20936
1995-01-01,21837
1996-01-01,22816
1997-01-01,24042
1998-01-01,25747
1999-01-01,27000
2000-01-01,29002
2001-01-01,30704
2002-01-01,31194
2003-01-01,32282
2004-01-01,33955
2005-01-01,34573
2006-01-01,36609
2007-01-01,38595
2008-01-01,40774
2009-01-01,40358
2010-01-01,41491
2011-01-01,43754
2012-01-01,44858
2013-01-01,45296
2014-01-01,46894
2015-01-01,48117
2016-01-01,48827
2017-01-01,50009
2018-01-01,51691
2019-01-01,54278
2020-01-01,58131
2021-01-01,60807
2022-01-01,63523
2023-01-01,66803
2024-01-01,70086
