observation_date,WVPCPI
1929-01-01,459
1930-01-01,407
1931-01-01,354
1932-01-01,257
1933-01-01,259
1934-01-01,313
1935-01-01,338
1936-01-01,391
1937-01-01,419
1938-01-01,371
1939-01-01,390
1940-01-01,409
1941-01-01,500
1942-01-01,617
1943-01-01,748
1944-01-01,829
1945-01-01,900
1946-01-01,931
1947-01-01,1036
1948-01-01,1105
1949-01-01,1016
1950-01-01,1051
1951-01-01,1179
1952-01-01,1244
1953-01-01,1273
1954-01-01,1223
1955-01-01,1318
1956-01-01,1478
1957-01-01,1597
1958-01-01,1587
1959-01-01,1633
1960-01-01,1660
1961-01-01,1705
1962-01-01,1800
1963-01-01,1893
1964-01-01,2019
1965-01-01,2171
1966-01-01,2318
1967-01-01,2465
1968-01-01,2622
1969-01-01,2832
1970-01-01,3156
1971-01-01,3418
1972-01-01,3729
1973-01-01,4062
1974-01-01,4481
1975-01-01,4991
1976-01-01,5455
1977-01-01,6012
1978-01-01,6641
1979-01-01,7335
1980-01-01,8014
1981-01-01,8723
1982-01-01,9263
1983-01-01,9539
1984-01-01,10335
1985-01-01,10885
1986-01-01,11291
1987-01-01,11690
1988-01-01,12688
1989-01-01,13606
1990-01-01,14607
1991-01-01,15195
1992-01-01,16269
1993-01-01,16767
1994-01-01,17463
1995-01-01,18016
1996-01-01,18736
1997-01-01,19585
1998-01-01,20451
1999-01-01,21017
2000-01-01,22275
2001-01-01,23731
2002-01-01,24506
2003-01-01,24804
2004-01-01,25628
2005-01-01,26836
2006-01-01,28528
2007-01-01,29544
2008-01-01,31494
2009-01-01,31653
2010-01-01,32642
2011-01-01,34490
2012-01-01,35233
2013-01-01,35093
2014-01-01,36243
2015-01-01,37068
2016-01-01,37075
2017-01-01,38841
2018-01-01,41001
2019-01-01,42615
2020-01-01,44867
2021-01-01,48792
2022-01-01,50131
2023-01-01,52813
2024-01-01,55138
