observation_date,WYPCPI
1929-01-01,672
1930-01-01,582
1931-01-01,477
1932-01-01,375
1933-01-01,372
1934-01-01,414
1935-01-01,498
1936-01-01,552
1937-01-01,606
1938-01-01,560
1939-01-01,586
1940-01-01,602
1941-01-01,793
1942-01-01,974
1943-01-01,1171
1944-01-01,1243
1945-01-01,1274
1946-01-01,1365
1947-01-01,1511
1948-01-01,1635
1949-01-01,1702
1950-01-01,1792
1951-01-01,2023
1952-01-01,1986
1953-01-01,2005
1954-01-01,1935
1955-01-01,2006
1956-01-01,2115
1957-01-01,2234
1958-01-01,2257
1959-01-01,2352
1960-01-01,2382
1961-01-01,2461
1962-01-01,2580
1963-01-01,2616
1964-01-01,2673
1965-01-01,2818
1966-01-01,2967
1967-01-01,3184
1968-01-01,3375
1969-01-01,3704
1970-01-01,4038
1971-01-01,4404
1972-01-01,4856
1973-01-01,5571
1974-01-01,6317
1975-01-01,6853
1976-01-01,7309
1977-01-01,8203
1978-01-01,9361
1979-01-01,10436
1980-01-01,11614
1981-01-01,12801
1982-01-01,13056
1983-01-01,12872
1984-01-01,13564
1985-01-01,14321
1986-01-01,14376
1987-01-01,14327
1988-01-01,15037
1989-01-01,16650
1990-01-01,18142
1991-01-01,18836
1992-01-01,19565
1993-01-01,20392
1994-01-01,21000
1995-01-01,21773
1996-01-01,22622
1997-01-01,24241
1998-01-01,25704
1999-01-01,27404
2000-01-01,29426
2001-01-01,31215
2002-01-01,31810
2003-01-01,33642
2004-01-01,35921
2005-01-01,38907
2006-01-01,43805
2007-01-01,45634
2008-01-01,49451
2009-01-01,44499
2010-01-01,46395
2011-01-01,50631
2012-01-01,53597
2013-01-01,52835
2014-01-01,56251
2015-01-01,56120
2016-01-01,53419
2017-01-01,56378
2018-01-01,59197
2019-01-01,61853
2020-01-01,65094
2021-01-01,70962
2022-01-01,76394
2023-01-01,81918
2024-01-01,85945
